_id,OBJECTID,FLOC_ID,Building Description,Address,City,Ward Name,Former Municipality,District,City Cluster,Building Type,Building Status,Jurisdiction,Management,Owner,Gross Floor Area (M2),Gross Floor Area (FT2),Year Built,WARD,geometry
11,11,005855-B04,TODMORDEN MILLS - BREWERY MUSEUM & GENERAL INFORMATION BLDG,67 POTTERY RD,TORONTO,Toronto-Danforth,East York,South,Citizen-Focused Services Group A,Museum/Heritage,City Use,"Parks, Forestry & Recreation","Parks, Forestry & Recreation",City of Toronto,164,1765,,14,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.360334014503, 43.6863612340699]]}"
12,12,005855-B09,TODMORDEN MILLS - INFORMATION BOOTH,67 POTTERY RD,TORONTO,Toronto-Danforth,Toronto (Amal),South,Citizen-Focused Services Group A,Office Building - Small,City Use,Economic Development & Culture,Economic Development & Culture,City of Toronto,18,194,,14,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.360334014503, 43.6863612340699]]}"
13,13,003431-B01,PRAIRIE DRIVE PARK - FIELDHOUSE & WASHROOM,70 PRAIRIE DR,TORONTO,Scarborough Southwest,Scarborough,East,Citizen-Focused Services Group A,Park Fieldhouse,City Use,"Parks, Forestry & Recreation","Parks, Forestry & Recreation",City of Toronto,49,529,,20,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.283918134224, 43.697204657361]]}"
14,14,005640-B01,EMS STATION NO. 43 & ST VINCENT DE PAUL AMELIE HOUSE,126 PAPE AVE,TORONTO,Toronto-Danforth,Toronto (Old),South,Citizen-Focused Services Group A,EMS Station/Facility,City Use,Toronto Paramedic Services,Toronto Paramedic Services,City of Toronto,660,7100,1917,14,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.3385854180461, 43.6628190073942]]}"
15,15,001597-B01,PAPE / DANFORTH PUBLIC LIBRARY,701 PAPE AVE,TORONTO,Toronto-Danforth,Toronto (Old),South,"Agencies, Boards, and Commissions",Library,City Use,Toronto Public Library Board,Toronto Public Library Board,Toronto Public Library Board,759,8170,1929,14,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.3444395999378, 43.6786322848271]]}"
16,16,005130-B01,PAPE STATION,743 PAPE AVE,TORONTO,Toronto-Danforth,Metro Toronto,South,"Agencies, Boards, and Commissions",Subway/LRT Station,City Use,Toronto Transit Commission,Toronto Transit Commission,City of Toronto,,,,14,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.3450123847713, 43.6798873239788]]}"
17,17,005419-B01,KENNEDY HOUSE YOUTH SHELTER,1076 PAPE AVE,TORONTO,Toronto-Danforth,Metro Toronto,South,Internal Services Group,Shelter/Hostel,Sale (Lease >20 Years),Facilities Management & Real Estate Services,Facilities Management & Real Estate Services,City of Toronto,1455,15658,1966,14,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.3496487016504, 43.690919952059]]}"
18,18,001996-B01,EAST YORK COMMUNITY CENTRE & TODMORDEN LIBRARY & INDOOR POOL,1081.5 PAPE AVE,East York,Toronto-Danforth,East York,South,Citizen-Focused Services Group A,Community Recreation Centre,City Use,"Parks, Forestry & Recreation","Parks, Forestry & Recreation",City of Toronto,2415,25995,1961,14,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.349270446187, 43.6917839832926]]}"
19,19,005420-B01,EMS STATION NO. 41 (NEW),1300 PAPE AVE,TORONTO,Toronto-Danforth,Metro Toronto,South,Citizen-Focused Services Group A,EMS Station/Facility,City Use,Toronto Paramedic Services,Toronto Paramedic Services,City of Toronto,462,4970,2011,14,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.3505195487102, 43.6928883810376]]}"
20,20,004576-B01,BEECROFT MANOR,35 PARK HOME AVE,TORONTO,Willowdale,North York,North,Affiliated Corporations and Organizations,Multi-Unit Residence,City Use,Toronto Community Housing Corporation,Toronto Community Housing Corporation,City of Toronto,13327,143451,1974,18,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.415525899708, 43.7681243376572]]}"
21,21,005894-B01,HUMBER BAY PUBLIC LIBRARY,200 PARK LAWN RD,TORONTO,Etobicoke-Lakeshore,Etobicoke,West,"Agencies, Boards, and Commissions",Library,City Use,Toronto Public Library Board,Toronto Public Library Board,Toronto Public Library Board,223,2400,1951,3,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.4912494110124, 43.6303154419396]]}"
22,22,002051-B01,PARK LAWN PARK - BUBBLE RINK,340 PARK LAWN RD,TORONTO,Etobicoke-Lakeshore,Etobicoke,West,Citizen-Focused Services Group A,Artificial Ice Rink - Outdoor,City Use,"Parks, Forestry & Recreation","Parks, Forestry & Recreation",City of Toronto,1087,11700,1957,3,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.4956686258498, 43.638575871126]]}"
23,23,002051-B04,PARK LAWN PARK - ICE RINK COMPRESSOR BLDG,340 PARK LAWN RD,TORONTO,Etobicoke-Lakeshore,Toronto (Amal),West,Citizen-Focused Services Group A,Outdoor Rink Service Building,City Use,"Parks, Forestry & Recreation","Parks, Forestry & Recreation",City of Toronto,40,430,1957,3,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.4956686258498, 43.638575871126]]}"
24,24,002051-B02,PARK LAWN PARK - OUTDOOR POOL & RINK SERVICE BLDG,340 PARK LAWN RD,TORONTO,Etobicoke-Lakeshore,Etobicoke,West,Citizen-Focused Services Group A,Outdoor Pool Service Building,City Use,"Parks, Forestry & Recreation","Parks, Forestry & Recreation",City of Toronto,502,5403,1957,3,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.4956686258498, 43.638575871126]]}"
25,25,000882-B01,SS&HA - TEMP TRAINING BUILDING,21 PARK RD,TORONTO,University-Rosedale,Toronto (Old),South,Citizen-Focused Services Group A,Office Building - Small,City Use,Toronto Shelter & Support Services,Toronto Shelter & Support Services,City of Toronto,737,7937,1889,11,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.3843992116076, 43.6721057182014]]}"
26,26,000516-B09,HIGH PARK - HOWARD PARK TENNIS CLUBHOUSE & WASHROOM (#56),430 PARKSIDE DR,TORONTO,Parkdale-High Park,Toronto (Old),South,Citizen-Focused Services Group A,Sports Clubhouse,City Use,Association of Community Centres,"Parks, Forestry & Recreation",City of Toronto,403,4338,1979,4,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.4595005013024, 43.6504459165964]]}"
27,27,000516-B35,HIGH PARK - NATURE CENTRE (#41),440 PARKSIDE DR,TORONTO,Parkdale-High Park,Toronto (Old),South,Citizen-Focused Services Group A,Community Centre,City Use,Association of Community Centres,"Parks, Forestry & Recreation",City of Toronto,229,2465,1935,4,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.4590600388211, 43.6510302000449]]}"
28,28,004711-B02,JOHN MCKENZIE HOUSE - STABLE,34 PARKVIEW AVE,TORONTO,Willowdale,Toronto (Amal),North,Citizen-Focused Services Group A,Arts/Cultural Building,City Use,Economic Development & Culture,Economic Development & Culture,City of Toronto,35,380,1915,18,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.411458584512, 43.7715929212089]]}"
29,29,004711-B01,JOHN MCKENZIE HOUSE - MAIN BUILDING,34 PARKVIEW AVE,TORONTO,Willowdale,North York,North,Citizen-Focused Services Group A,Arts/Cultural Building,City Use,Economic Development & Culture,Economic Development & Culture,City of Toronto,426,4590,1915,18,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.411458584512, 43.7715929212089]]}"
30,30,004821-B01,FIRE HALL NO. 115 & EMS STATION NO. 23,115 PARKWAY FOREST DR,TORONTO,Don Valley North,North York,North,Citizen-Focused Services Group B,Fire & EMS Joint Station,City Use,Fire Services,Fire Services,City of Toronto,810,8722,1983,17,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.340686070112, 43.7744035511644]]}"
31,31,005646-B01,POLICE NO. 51 DIVISION (NEW),51 PARLIAMENT ST,TORONTO,Toronto Centre,Toronto (Old),South,Internal Services Group,Police Station/Facility,City Use,Toronto Police Service,Facilities Management & Real Estate Services,City of Toronto,4450,47900,2004,13,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.3621390104837, 43.6519428059157]]}"
32,32,007605-B01,AFFORDABLE HOUSING BLDG AT 292 PARLIAMENT ST,296 PARLIAMENT ST,TORONTO,Toronto Centre,None,South,Internal Services Group,Mixed Use Residence & Office,City Use,Facilities Management & Real Estate Services,Facilities Management & Real Estate Services,City of Toronto,4543,48900,1949,13,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.3660192185796, 43.65874006495]]}"
33,33,007751-B01,LEASED SPACE FOR CONSTITUENCY OFFICE (MOISE),"329 PARLIAMENT ST, UNIT 4",TORONTO,Toronto Centre,None,South,None,Commercial Building,City Use,Commercial Firm,Commercial Firm,THIRD PARTY,85,919,2009,13,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.365858665666, 43.6598128101074]]}"
34,34,003270-B01,WARREN PARK SEWAGE PUMPING STATION,6 PASADENA GDNS,TORONTO,Parkdale-High Park,York,South,Citizen-Focused Services Group B,Pumping Station - Above Ground,City Use,Toronto Water,Toronto Water,City of Toronto,24,258,,4,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.4982160809203, 43.6581193508708]]}"
35,35,004360-B01,PELMO PARK COMMUNITY CENTRE,171 PELLATT AVE,TORONTO,York South-Weston,North York,West,Citizen-Focused Services Group A,Community Recreation Centre,City Use,"Parks, Forestry & Recreation","Parks, Forestry & Recreation",City of Toronto,242,2600,1980,5,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.5195137371404, 43.7142643813312]]}"
36,36,000889-B01,PERTH SQUARE PARK - FIELDHOUSE & WASHROOM,350 PERTH AVE,TORONTO,Davenport,Toronto (Old),South,Citizen-Focused Services Group A,Park Fieldhouse,City Use,"Parks, Forestry & Recreation","Parks, Forestry & Recreation",City of Toronto,53,570,1981,9,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.4522628895839, 43.664110899603]]}"
37,37,006762-B01,ASSESSMENT & REFERRAL CENTRE,129 PETER ST,TORONTO,Spadina-Fort York,Toronto (Amal),South,Citizen-Focused Services Group A,Shelter/Hostel,City Use,Toronto Shelter & Support Services,Toronto Shelter & Support Services,City of Toronto,1223,13161,1946,10,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.3932347349922, 43.6487385939084]]}"
38,38,003429-B01,OAKRIDGE COMMUNITY RECREATION CENTRE,63 PHARMACY AVE,TORONTO,Scarborough Southwest,Scarborough,East,Citizen-Focused Services Group A,Community Recreation Centre,City Use,"Parks, Forestry & Recreation","Parks, Forestry & Recreation",Toronto District School Board,1308,14075,1970,20,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.2839368961324, 43.6944325396346]]}"
39,39,005044-B02,PHARMACY YARD - STORAGE SHED,125 PHARMACY AVE,TORONTO,Scarborough Southwest,Toronto (Amal),East,Citizen-Focused Services Group A,Yard Storage Building,City Use,"Parks, Forestry & Recreation","Parks, Forestry & Recreation",City of Toronto,79,850,,20,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.2854193844968, 43.6978650291948]]}"
40,40,005044-B01,PHARMACY YARD - OFFICE & CHANGEROOM,125 PHARMACY AVE,TORONTO,Scarborough Southwest,Metro Toronto,East,Citizen-Focused Services Group A,Yard Service Building,City Use,"Parks, Forestry & Recreation","Parks, Forestry & Recreation",City of Toronto,172,1851,1958,20,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.2854193844968, 43.6978650291948]]}"
41,41,003678-B01,WEST SCARBOROUGH NEIGHBOURHOOD COMMUNITY CENTRE & POOL,313 PHARMACY AVE,TORONTO,Scarborough Southwest,Scarborough,East,Internal Services Group,Community Recreation Centre,City Use,"Parks, Forestry & Recreation","Parks, Forestry & Recreation",City of Toronto,3071,33056,1975,20,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.284678579475, 43.7014077642869]]}"
42,42,006847-B01,PHARMACY AVE - POLICE ROOFTOP ANTENNA,865 PHARMACY AVE,TORONTO,Scarborough Centre,Toronto (Amal),East,None,Control/Operating Building,City Use,Landlord,Toronto Police Service,Third Party Organization,12,130,,21,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.2973213121493, 43.7277810256951]]}"
43,43,005641-B04,EGLINTON WATER PUMPING STATION,885 PHARMACY AVE,TORONTO,Scarborough Centre,Metro Toronto,East,Citizen-Focused Services Group B,Pumping Station - Above Ground,City Use,Toronto Water,Toronto Water,City of Toronto,444,4776,1957,21,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.2982217800872, 43.7290705065989]]}"
44,44,005641-B03,EMS STATION NO. 44,887 PHARMACY AVE,TORONTO,Scarborough Centre,Metro Toronto,East,Citizen-Focused Services Group A,EMS Station/Facility,City Use,Toronto Paramedic Services,Toronto Paramedic Services,City of Toronto,315,3395,1983,21,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.2985288410622, 43.729553703411]]}"
45,45,003323-B02,MARYVALE PARK - SPORTS CENTRE,1325 PHARMACY AVE,TORONTO,Scarborough Centre,Scarborough,East,Citizen-Focused Services Group A,Community Centre,City Use,"Parks, Forestry & Recreation","Parks, Forestry & Recreation",City of Toronto,396,4263,1979,21,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.307836183235, 43.754822068202]]}"
46,46,003770-B01,WISHING WELL PARK - FIELDHOUSE & WASHROOM,1700 PHARMACY AVE,TORONTO,Scarborough-Agincourt,Scarborough,East,Citizen-Focused Services Group A,Park Fieldhouse,City Use,"Parks, Forestry & Recreation","Parks, Forestry & Recreation",City of Toronto,218,2347,,22,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.3154617908165, 43.770746842075]]}"
47,47,000718-B01,BALMY BEACH COMMUNITY CENTRE  & INDOOR SWIM. POOL,14 PINE AVE,TORONTO,Beaches-East York,Toronto (Old),South,Citizen-Focused Services Group A,Community Recreation Centre,City Use,"Parks, Forestry & Recreation","Parks, Forestry & Recreation",Toronto District School Board,557,6000,,19,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.289826941499, 43.6764359194877]]}"
48,48,007482-B01,EMERGENCY SHELTER AT 101 PLACER COURT,101 PLACER CRT,NORTH YORK,Don Valley North,None,North,Citizen-Focused Services Group A,Shelter/Hostel,City Use,Toronto Shelter & Support Services,Toronto Shelter & Support Services,City of Toronto,1784,19200,1978,17,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.341406318505, 43.8020257178248]]}"
49,49,002138-B01,FIRE HALL NO. 431,308 PRINCE EDWARD DR S,TORONTO,Etobicoke-Lakeshore,Etobicoke,West,Citizen-Focused Services Group B,Fire Hall/Facility,City Use,Fire Services,Fire Services,City of Toronto,391,4209,1958,3,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.5048470438209, 43.6464360660255]]}"
50,50,000549-B56,EXPLACE - DIRECT ENERGY CENTRE,100 PRINCES' BLVD,TORONTO,Spadina-Fort York,Toronto (Amal),South,"Agencies, Boards, and Commissions",Commercial Building,City Use,Exhibition Place Board,Exhibition Place Board,City of Toronto,92903,1000000,1997,10,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.4125515737531, 43.6345302835614]]}"
51,51,000549-B08,EXPLACE - STANLEY BARRACKS,115 PRINCES' BLVD,TORONTO,Spadina-Fort York,Toronto (Old),South,"Agencies, Boards, and Commissions",Museum/Heritage,City Use,Exhibition Place Board,Exhibition Place Board,City of Toronto,137,1470,1961,10,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.4131168745401, 43.6327628961457]]}"
52,52,000549-B24,EXPLACE - BMO FIELD STADIUM,170 PRINCES' BLVD,TORONTO,Spadina-Fort York,Metro Toronto,South,"Agencies, Boards, and Commissions",Stadium,City Use,Exhibition Place Board,Commercial Firm,City of Toronto,22297,240000,2007,10,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.4186142999948, 43.6326640111775]]}"
53,53,006069-B01,TCHC FACILITY & YORK WEST SENIORS CENTRE,1901 WESTON RD,TORONTO,York South-Weston,York,West,Affiliated Corporations and Organizations,Multi-Unit Residence,City Use,Toronto Community Housing Corporation,Toronto Community Housing Corporation,Toronto Community Housing Corporation,36,390,1973,5,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.515990059799, 43.7005804761155]]}"
54,54,006070-B01,CARMINE STEFANO COMMUNITY CENTRE,3100 WESTON RD,TORONTO,Humber River-Black Creek,North York,West,None,Community Recreation Centre,City Use,Commercial Firm,"Parks, Forestry & Recreation",Third Party Organization,5377,57873,1929,7,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.5396196635005, 43.7336969008245]]}"
55,55,007225-B01,WESTOWN CHILD CARE CENTRE,3101 WESTON RD,TORONTO,Humber River-Black Creek,Toronto (Amal),West,Affiliated Corporations and Organizations,Child Care Centre,City Use,Landlord,Landlord,Toronto Community Housing Corporation,298,3209,1984,7,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.5372258484012, 43.7333122458484]]}"
56,56,004282-B01,HABITANT ARENA,3383 WESTON RD,TORONTO,Humber River-Black Creek,Metro Toronto,West,Citizen-Focused Services Group A,Arena,City Use,"Parks, Forestry & Recreation","Parks, Forestry & Recreation",City of Toronto,2483,26727,1970,7,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.5402428660813, 43.7470188202157]]}"
57,57,001032-B01,WOBURN AVE PLAYGROUND - FIELDHOUSE & WASHROOM,75 WOBURN AVE,TORONTO,Eglinton-Lawrence,Toronto (Old),North,Citizen-Focused Services Group A,Park Fieldhouse,City Use,"Parks, Forestry & Recreation","Parks, Forestry & Recreation",City of Toronto,38,409,1957,8,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.4056867790938, 43.7276285487372]]}"
58,58,005126-B02,RESIDENTIAL DWELLING & GARAGE (FUTURE TTC USE),996 WOODBINE AVE,TORONTO,Beaches-East York,Toronto (Amal),South,"Agencies, Boards, and Commissions",Residential House,City Use,Toronto Transit Commission,Facilities Management & Real Estate Services,City of Toronto,206,2216,1922,19,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.3133536113541, 43.6863219107255]]}"
59,59,002023-B01,FIRE HALL NO. 224,1313 WOODBINE AVE,TORONTO,Beaches-East York,East York,South,Citizen-Focused Services Group B,Fire Hall/Facility,City Use,Fire Services,Fire Services,City of Toronto,594,6393,1950,19,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.3165970101621, 43.6951874596139]]}"
60,60,001051-B02,S.H. ARMSTRONG  INDOOR SWIMMING POOL,56 WOODFIELD RD,TORONTO,Toronto-Danforth,Toronto (Old),South,Citizen-Focused Services Group A,Swimming Pool - Indoor,City Use,"Parks, Forestry & Recreation","Parks, Forestry & Recreation",City of Toronto,438,4710,1983,14,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.3227579908163, 43.6658171225896]]}"
61,61,001051-B01,S.H. ARMSTRONG MEMORIAL RECREATION CENTRE,56 WOODFIELD RD,TORONTO,Toronto-Danforth,Toronto (Old),South,Citizen-Focused Services Group A,Community Recreation Centre,City Use,"Parks, Forestry & Recreation","Parks, Forestry & Recreation",City of Toronto,2013,21667,1955,14,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.3227579908163, 43.6658171225896]]}"
62,62,001051-B04,APPLEGROVE COMMUNITY COMPLEX (THE LINK BLDG),60 WOODFIELD RD,TORONTO,Toronto-Danforth,Toronto (Old),South,Other Organizations,Community Recreation Centre,City Use,Toronto District School Board,Toronto District School Board,Toronto District School Board,735,7911,1982,14,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.3219122801093, 43.6660436049578]]}"
63,63,007806-B01,MONARCH PARK - PEDESTRIAN TUNNEL LINKED TO RAIL GARDEN,450 WOODFIELD RD,TORONTO,Toronto-Danforth,None,South,Citizen-Focused Services Group A,Tunnel,City Use,Pending Review,Pending Review,METROLINX,,,1965,14,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.3260118872412, 43.6760688178312]]}"
64,64,000498-B01,ARTSCAPE WYCHWOOD BARNS,76 WYCHWOOD AVE,TORONTO,Toronto-St. Paul's,Metro Toronto,South,Internal Services Group,Warehouse/Large Storage,Sale (Lease >20 Years),Facilities Management & Real Estate Services,Facilities Management & Real Estate Services,City of Toronto,5112,55027,1913,12,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.4229244513694, 43.679880509766]]}"
65,65,006796-B01,EMERY CHILD CARE CENTRE,3395 WESTON RD,TORONTO,Humber River-Black Creek,Toronto (Amal),West,Other Organizations,Child Care Centre,City Use,Children's Services,Facilities Management & Real Estate Services,Toronto District School Board,85,917,,7,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.5395569845548, 43.7487227091093]]}"
66,66,002700-B01,WHITLAM WAREHOUSE,25 WHITLAM AVE,TORONTO,Etobicoke-Lakeshore,Etobicoke,West,Citizen-Focused Services Group A,Warehouse/Large Storage,City Use,"Parks, Forestry & Recreation","Parks, Forestry & Recreation",City of Toronto,2660,28630,1969,3,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.5228340176455, 43.6027983588795]]}"
67,67,005632-B01,WHITLAM WATER TANK,26 WHITLAM AVE,TORONTO,Etobicoke-Lakeshore,Metro Toronto,West,Citizen-Focused Services Group B,Water Tank,City Use,Toronto Water,Toronto Water,City of Toronto,,,,3,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.5225205959015, 43.6024353390957]]}"
68,68,007002-B01,WIDDICOMBE HILL BLVD - POLICE ROOFTOP ANTENNA,63 WIDDICOMBE HILL BLVD,TORONTO,Etobicoke Centre,Scarborough,West,None,Control/Operating Building,City Use,Landlord,Landlord,Third Party Organization,51,554,2001,2,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.5547812118871, 43.6776541105655]]}"
69,69,005877-B01,FIRE HALL NO. 121,10 WILLIAM CARSON CRES,TORONTO,Don Valley West,North York,North,Citizen-Focused Services Group B,Fire Hall/Facility,City Use,Fire Services,Fire Services,City of Toronto,392,4216,1988,15,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.4067807494981, 43.7485400772289]]}"
70,70,000654-B01,BEACHES RECREATION CENTRE & INDOOR POOL,6 WILLIAMSON RD,TORONTO,Beaches-East York,Toronto (Old),South,Citizen-Focused Services Group A,Community Recreation Centre,City Use,"Parks, Forestry & Recreation","Parks, Forestry & Recreation",City of Toronto,1250,13455,1971,19,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.2988070621421, 43.6739310242058]]}"
71,71,004497-B02,IRVING CHAPLEY COMMUNITY CENTRE,205 WILMINGTON AVE,TORONTO,York Centre,Metro Toronto,North,Citizen-Focused Services Group A,Community Recreation Centre,City Use,"Parks, Forestry & Recreation","Parks, Forestry & Recreation",City of Toronto,576,6200,,6,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.4557498353799, 43.7613507732862]]}"
72,72,004497-B04,IRVING CHAPLEY PARK - PICNIC SHELTER,205 WILMINGTON AVE,TORONTO,York Centre,Toronto (Amal),North,Citizen-Focused Services Group A,Picnic Shelter/Gazebo,City Use,"Parks, Forestry & Recreation","Parks, Forestry & Recreation",City of Toronto,32,340,,6,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.4557498353799, 43.7613507732862]]}"
73,73,005467-B01,ARMOUR HEIGHTS WATER PUMPING STATION,226 WILSON AVE,TORONTO,Eglinton-Lawrence,Metro Toronto,North,Citizen-Focused Services Group B,Pumping Station - Above Ground,City Use,Toronto Water,Toronto Water,City of Toronto,537,5780,,8,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.4271043789674, 43.7389407397835]]}"
74,74,005435-B01,WILSON SUBWAY STATION & GARAGE,570 WILSON AVE,TORONTO,York Centre,Metro Toronto,North,"Agencies, Boards, and Commissions",Subway/LRT Station,City Use,Toronto Transit Commission,Toronto Transit Commission,City of Toronto,,,,6,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.4508700456538, 43.7345941596657]]}"
